#{"t_start": 1776339266.0730002, "env_id": "None"}
r,l,t
-7597.346,300,7.805284
-7559.5293,300,7.805406
-7530.1597,300,7.805442
-7541.945,300,7.80547
-7553.893,300,7.805496
-7602.9834,300,7.80552
-7571.661,300,7.805544
-7551.963,300,7.805568
-7549.4023,300,9.438794
-7512.599,300,9.438903
-7575.9033,300,9.438935
-7567.194,300,9.43896
-7542.5835,300,9.438984
-7550.049,300,9.439007
-7575.1,300,9.439029
-7575.115,300,9.439052
-7553.936,300,11.214492
-7552.176,300,11.214571
-7580.9834,300,11.214586
-7551.8745,300,11.214598
-7536.3027,300,11.214608
-7575.9424,300,11.214618
-7630.465,300,11.214628
-7556.442,300,11.214638
-7561.308,300,12.649212
-7591.2925,300,12.649297
-7555.8477,300,12.649313
-7526.0225,300,12.649324
-7601.2485,300,12.649334
-7603.5635,300,12.649343
-7541.21,300,12.649353
-7552.269,300,12.649362
-7500.4185,300,51.490913
-7503.13,300,51.491042
-7488.4097,300,51.49108
-7466.609,300,51.491111
-7467.412,300,51.491139
-7515.1206,300,51.491184
-7482.7783,300,51.491212
-7473.107,300,51.491239
-7316.416,300,95.465854
-7307.3833,300,95.465945
-7319.8857,300,95.465961
-7289.876,300,95.465972
-7315.605,300,95.465981
-7321.5806,300,95.465991
-7334.9688,300,95.466
-7321.819,300,95.46601
-7277.4414,300,146.900021
-7280.6245,300,146.900128
-7283.503,300,146.900148
-7286.938,300,146.900185
-7274.763,300,146.900197
-7293.7417,300,146.900209
-7282.393,300,146.90022
-7282.58,300,146.900231
-7287.9717,300,203.548832
-7283.1016,300,203.548936
-7279.301,300,203.548952
-7274.5703,300,203.548964
-7279.943,300,203.548974
-7285.0146,300,203.548985
-7274.5947,300,203.548995
-7266.6436,300,203.549004
-7272.279,300,262.015722
-7277.4165,300,262.015832
-7283.826,300,262.015853
-7271.6846,300,262.015867
-7254.7915,300,262.01588
-7272.0854,300,262.015893
-7279.233,300,262.020035
-7279.602,300,262.020121
-7270.7104,300,320.806898
-7262.122,300,320.806981
-7273.884,300,320.806997
-7276.838,300,320.807007
-7265.5117,300,320.807017
-7272.4814,300,320.807026
-7270.441,300,320.807035
-7286.997,300,320.807045
-7260.2754,300,379.329664
-7279.0625,300,379.329771
-7261.793,300,379.329788
-7275.7905,300,379.3298
-7282.3022,300,379.329811
-7259.3726,300,379.329822
-7281.5845,300,379.329832
-7276.6895,300,379.329843
-7268.8457,300,437.516549
-7267.8276,300,437.516639
-7251.951,300,437.516655
-7279.6455,300,437.516666
-7275.242,300,437.516677
-7267.0854,300,437.516722
-7245.182,300,437.51674
-7271.6685,300,437.516751
-7271.3584,300,494.926235
-7254.3223,300,494.926342
-7262.1255,300,494.926359
-7275.686,300,494.92637
-7260.618,300,494.926381
-7267.0645,300,494.926391
-7273.62,300,494.9264
-7276.2334,300,494.92641
-7282.8154,300,555.468495
-7270.6562,300,555.468593
-7264.4688,300,555.468609
-7267.9277,300,555.46862
-7266.1123,300,555.46863
-7272.6675,300,555.46864
-7270.454,300,555.468649
-7275.3906,300,555.468659
-7254.623,300,615.849989
-7262.376,300,615.850095
-7281.91,300,615.850113
-7271.0054,300,615.850125
-7261.4766,300,615.850135
-7267.481,300,615.850145
-7263.799,300,615.85017
-7279.861,300,615.850182
-7285.828,300,679.86513
-7278.176,300,679.865225
-7277.164,300,679.865242
-7266.385,300,679.865252
-7275.455,300,679.865262
-7247.7793,300,679.865272
-7271.559,300,679.865282
-7260.4385,300,679.865291
-7276.5635,300,737.913723
-7261.694,300,737.91381
-7264.193,300,737.913827
-7267.9287,300,737.913839
-7264.521,300,737.913849
-7269.441,300,737.91386
-7268.8843,300,737.91387
-7272.696,300,737.91388
-7282.848,300,795.12403
-7281.645,300,795.124139
-7276.041,300,795.12417
-7243.52,300,795.124183
-7263.749,300,795.124194
-7270.896,300,795.124205
-7276.826,300,795.124216
-7271.946,300,795.124226
-7282.0356,300,851.609133
-7274.781,300,851.609257
-7265.55,300,851.609276
-7270.6045,300,851.609288
-7276.6665,300,851.609299
-7276.5503,300,851.60931
-7258.6626,300,851.60932
-7266.764,300,851.609331
-7260.7104,300,905.465641
-7276.5283,300,905.465729
-7268.97,300,905.465749
-7278.648,300,905.46576
-7268.9155,300,905.465771
-7272.6885,300,905.465798
-7275.406,300,905.465808
-7270.416,300,905.465818
-7275.407,300,992.994817
-7281.178,300,992.994925
-7259.8594,300,992.994941
-7273.1353,300,992.994954
-7268.8804,300,992.994964
-7251.391,300,992.994974
-7265.788,300,992.994984
-7277.8647,300,992.994993
-7274.674,300,1053.012688
-7257.8086,300,1053.012779
-7264.221,300,1053.012799
-7246.0317,300,1053.01281
-7262.284,300,1053.012821
-7267.931,300,1053.012832
-7271.8267,300,1053.012842
-7250.6035,300,1053.012853
-7244.3745,300,1111.275705
-7263.388,300,1111.275793
-7265.2114,300,1111.275811
-7268.9854,300,1111.275824
-7263.3286,300,1111.275835
-7261.0806,300,1111.275845
-7257.6367,300,1111.275855
-7236.7617,300,1111.275865
-7264.143,300,1168.743171
-7253.2393,300,1168.743274
-7276.141,300,1168.743291
-7263.8984,300,1168.743302
-7252.0464,300,1168.743312
-7279.2104,300,1168.743323
-7242.378,300,1168.743332
-7258.1196,300,1168.743342
-7265.7236,300,1233.658281
-7255.928,300,1233.658365
-7256.3823,300,1233.658381
-7272.4614,300,1233.658391
-7265.757,300,1233.658401
-7260.696,300,1233.658411
-7267.6396,300,1233.658421
-7257.6772,300,1233.65843
-7260.291,300,1297.213502
-7267.4546,300,1297.213588
-7263.0586,300,1297.213605
-7264.547,300,1297.213616
-7257.357,300,1297.213627
-7265.3926,300,1297.213637
-7257.729,300,1297.213648
-7270.336,300,1297.213658
-7267.8633,300,1354.812657
-7260.049,300,1354.812768
-7263.108,300,1354.812785
-7259.052,300,1354.812796
-7249.0386,300,1354.812806
-7269.238,300,1354.812816
-7261.0464,300,1354.812826
-7268.1323,300,1354.812835
-7243.1797,300,1414.44741
-7259.7104,300,1414.447503
-7273.533,300,1414.447521
-7264.0073,300,1414.447533
-7266.8203,300,1414.447544
-7271.1,300,1414.447554
-7272.8394,300,1414.447564
-7249.1865,300,1414.447574
-7258.9243,300,1474.5358
-7270.777,300,1474.535884
-7259.6626,300,1474.535902
-7261.1157,300,1474.535913
-7229.826,300,1474.535923
-7265.827,300,1474.535933
-7251.966,300,1474.535942
-7264.374,300,1474.535951
-7266.689,300,1536.891415
-7266.6943,300,1536.891539
-7274.246,300,1536.89157
-7273.842,300,1536.891594
-7269.8965,300,1536.891615
-7273.6636,300,1536.891636
-7258.8687,300,1536.891656
-7265.328,300,1536.891676
-7278.4385,300,1603.355474
-7280.927,300,1603.355589
-7270.489,300,1603.355607
-7281.798,300,1603.35562
-7265.1064,300,1603.355632
-7280.919,300,1603.355644
-7255.8887,300,1603.355655
-7261.0576,300,1603.355666
-7256.624,300,1669.047015
-7274.7803,300,1669.047129
-7263.967,300,1669.047153
-7265.4272,300,1669.047181
